sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
1,388,114778,119915,115319,116078,127128,129893,120936,107894,88715,82662,82534,75477,61800,46848,35881,25031,15535,13921
2,388,110192,114778,111644,112095,122485,126161,117759,110530,98520,92466,90959,80105,69441,52131,37213,26742,16996,14525
0,44,28151,25904,29564,32516,33419,33969,30015,27331,27243,28498,26650,24152,19655,13324,8694,5848,3490,2092
1,44,14385,13370,14926,16185,16642,16999,14965,13165,13005,13585,12610,11368,8968,5945,3845,2472,1420,842
2,44,13766,12534,14638,16331,16777,16970,15050,14166,14238,14913,14040,12784,10687,7379,4849,3376,2070,1250
0,474,19254,16894,20620,23722,24845,19482,16264,16933,17465,22438,28575,31976,29851,25258,20788,15190,11134,13394
1,474,9789,8669,10638,12057,12530,10087,7501,7090,7294,9320,12358,14162,13804,11437,9156,6590,4585,4668
2,474,9465,8225,9982,11665,12315,9395,8763,9843,10171,13118,16217,17814,16047,13821,11632,8600,6549,8726
0,52,15287,15070,16663,18540,18846,18801,18223,18614,18714,19634,19661,19803,19161,16073,12680,9019,6184,7050
1,52,7765,7661,8459,9500,9636,9450,9100,9134,9158,9507,9421,9288,8811,7377,5849,4001,2628,2863
2,52,7522,7409,8204,9040,9210,9351,9123,9480,9556,10127,10240,10515,10350,8696,6831,5018,3556,4187
0,630,77091,123971,196427,204608,161685,145016,152965,166704,187042,197881,205608,201538,194849,169723,153558,124840,82226,84075
1,630,39518,63902,100439,106998,88137,76446,77110,81428,89678,92951,93799,90204,86696,72712,64488,52972,33063,29458
2,630,37573,60069,95988,97610,73548,68570,75855,85276,97364,104930,111809,111334,108153,97011,89070,71868,49163,54617
0,662,10547,11003,10927,12177,14839,16943,15299,14105,13330,12557,12392,11516,9298,6734,5096,3709,2464,2176
1,662,5348,5570,5536,6136,7408,8480,7571,6825,6500,6026,5941,5564,4416,3267,2475,1750,1206,1113
2,662,5199,5433,5391,6041,7431,8463,7728,7280,6830,6531,6451,5952,4882,3467,2621,1959,1258,1063
0,780,84109,93763,97127,92174,85348,90576,108663,125556,111275,92661,82628,87871,81523,63573,47303,31849,18295,12293
1,780,42737,47630,49268,46669,43120,45592,54680,62703,55393,45898,40444,42321,39166,30235,21900,14017,7550,4525
2,780,41372,46133,47859,45505,42228,44984,53983,62853,55882,46763,42184,45550,42357,33338,25403,17832,10745,7768
0,915,3338973,3474495,3499162,3441622,3384477,3294736,3244482,3057536,2640670,2595197,2636030,2515077,2030732,1582544,1248092,903587,595484,534391
1,915,1705150,1773230,1783869,1753524,1718750,1662934,1621342,1516925,1297798,1264728,1273086,1203764,964747,738147,571860,406264,257406,213609
2,915,1633823,1701265,1715293,1688098,1665727,1631802,1623140,1540611,1342872,1330469,1362944,1311313,1065985,844397,676232,497323,338078,320782
0,188,339858,356483,357087,357750,385547,417129,432705,412533,367499,315384,299625,302191,265353,198055,147732,103369,64513,59539
1,188,173938,182393,182651,182848,196632,212085,219133,207991,184258,156278,146912,147732,129055,95221,70025,47819,28633,24198
2,188,165920,174090,174436,174902,188915,205044,213572,204542,183241,159106,152713,154459,136298,102834,77707,55550,35880,35341
0,222,571872,566883,565874,565930,605430,601372,507698,420601,384205,353355,312602,273945,230859,192272,148913,110597,77432,60556
1,222,292642,290065,288664,285032,298090,287189,232532,184663,165459,151224,132777,115524,96718,79152,60998,45729,32339,23897
2,222,279230,276818,277210,280898,307340,314183,275166,235938,218746,202131,179825,158421,134141,113120,87915,64868,45093,36659
0,320,2087358,2012091,1934318,1939274,1862455,1684664,1442823,1238544,1040023,817947,635093,502682,411365,346315,250960,168276,113718,96137
1,320,1066632,1027864,987923,988710,944863,846018,713785,600684,491102,374478,284169,222269,181658,154201,111517,74489,50392,40563
2,320,1020726,984227,946395,950564,917592,838646,729038,637860,548921,443469,350924,280413,229707,192114,139443,93787,63326,55574
0,340,1033180,988568,1005175,1033663,1030737,938773,818310,721198,619523,505999,409371,324861,254232,198237,138302,89000,57844,54283
1,340,528785,505219,512772,527141,524506,475796,412402,360396,306030,246081,195985,153539,118840,91610,63072,39750,25018,21453
2,340,504395,483349,492403,506522,506231,462977,405908,360802,313493,259918,213386,171322,135392,106627,75230,49250,32826,32830
0,484,10790031,11161093,11157754,11172526,11002581,10875894,10176019,9290524,8686484,8201857,7305063,6159233,4991505,3865370,2717615,1817640,1143193,1048393
1,484,5521186,5705959,5704225,5688826,5550035,5441362,4983217,4450683,4107607,3861214,3412709,2875092,2318893,1772358,1234302,814837,497488,422894
